Drug,Y
NC(=O)c1cc2cc(ccc2o1)N1CCN(CCCCc2c[nH]c3ccc(cc23)C#N)CC1,-0.338550877
CN1C2C(N(C)C1=O)N(C)C(=O)N2C,0.470144023
COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)C,0.33682542
Cc1ccc(cc1)S(N)(=O)=O,0.074948687
C#CCN[C@@H]1CCc2ccccc12,-0.084075375
OC(=O)C1CCC(CC1)c1cc2cccnc2c(n1)-c1cccc(F)c1,0.153438087
Cc1ccn(n1)-c1cc(Cl)ccc1[C@@H](Oc1cc(nc(N)n1)-c1ccc(C[C@H](N)C(O)=O)cc1)C(F)(F)F,-0.343702196
CN1CCc2c(C1)c1cc(C)ccc1n2CCc1ccc(C)nc1,0.441947803
CCCCCOc1c(OC)ccc2cc(C(=O)NCc3ccc4OCOc4c3)c(=O)[nH]c12,-0.423072577
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)C(N)Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=N)C(O)=O,0.170126596
COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c1ccccc1,-1.033517873
CC(C)C[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc12)C(O)=O,0.063534464
CC(C)(C)NS(=O)(=O)c1cncc(c1)-c1cc(F)c2nc(N)nn2c1,0.389343092
CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C,0.112570518
[O-][N+](=O)\C=C\c1ccc2OCOc2c1,-1.317101017
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1,-0.207026513
[O-][N+](=O)c1ccc2C=CS(=O)(=O)c2c1,-0.939851608
N[C@@H](CSS(O)(=O)=O)C(O)=O,-0.05566521
Cc1cc(ccn1)-c1ccc(CC(=O)Nc2ccc(cc2)-c2cccnc2)cc1,0.132063486
N[C@]1(CC[C@@H](C1)C(O)=O)C(O)=O.N[C@@]1(CC[C@H](C1)C(O)=O)C(O)=O,0.116105204
CC(C)N(CCCNC(=O)Nc1ccc(cc1)C(C)(C)C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc(Br)c2c(N)ncnc12,-0.023315329
N[C@@H](Cn1oc(=O)[nH]c1=O)C(O)=O,0.063123254
Cc1ccc2N=C3N(CC[C@@]3(O)C(=O)c2c1)c1ccccc1,0.258637187
[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+]([O-])=O,-0.046013233
Nc1nc(N)c([N+][O-])c(OCC2CCCCC2)n1,0.135453542
OC(=O)Cc1cccnc1C(O)=O,0.178854886
OC(=O)c1ccc(cc1)\C=C1\SC(=S)N(C1=O)c1cccc(c1)C(F)(F)F,-0.074447333
CC(=C)[C@H]1CN[C@@H]([C@H]1CC(O)=O)C(O)=O,-0.260246301
Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,0.350088438
OC(=O)c1cc(O)c2ccccc2n1,0.378281845
CC(C)N(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)[C@@H]1C[C@H](CCc2nc3cc(ccc3[nH]2)C(C)(C)C)C1,-0.829699403
COc1ccc2C[C@@H]3c4c(CC[N+]3(C)C)cc(OC)c(OC)c4Oc3ccc(C[C@H]4c5cc(Oc1c2)c(OC)cc5CC[N+]4(C)C)cc3,0.026778075
CO[C@H]1CC(O[C@H]2[C@@H](C)\C=C\C=C3/CO[C@@H]4C(=N/O)\C(C)=C[C@@H](C(=O)O[C@H]5C[C@@H](C\C=C2/C)O[C@@]2(CC[C@H](C)[C@H](O2)C2CCCCC2)C5)[C@]34O)O[C@@H](C)C1O,-0.113042653
COc1ccccc1OC(=O)C(C)c1ccc(CC(C)C)cc1,0.212411283
CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,-0.098511341
CCOC(=O)c1c[nH]cn1,-0.35396166
O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1,0.00308421
CCN(CC)CCCCC(NC(=O)c1ccc(cc1)[N+]([O-])=O)c1ccccc1,0.001651646
CC(=O)O[C@H]1[C@H](C[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@H](C[C@]4(C)[C@H]3CC[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1,-0.274420406
Oc1cc(O)cc(O)c1,0.085497234
OC(=O)c1ccccc1Nc1cccc(OCc2ccc3ccccc3n2)c1,-0.431497795
Oc1ccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1,-0.291162437
Oc1c(I)cc(I)cc1I,0.173824975
COc1ccc2[nH]c(cc2c1)C(=O)c1ccccc1,0.729522429
COc1ccc(C(=O)c2ccccc2)c(O)c1,0.064862323
COc1[nH]c2ccc(F)cc2c1C(=O)OCC1CCN(CCNS(C)(=O)=O)CC1,0.1814586
Oc1ccc(cc1)[C@@H]1CC(=O)c2ccc(O)cc2O1,0.15742304
Cn1ccc2cc3N(CCc3cc12)C(=O)Nc1cccnc1,-0.475902843
CCOC(=O)c1cnc2n(CC)ncc2c1NN=C(C)C,0.044231215
Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O,-0.758410459
CCCn1cnc2n(C)c(=O)n(CCCCC(C)=O)c(=O)c12,-0.444323753
OC(=O)c1cccnc1C(O)=O,0.65757239
Nc1nc(N)c(SC#N)cc1SC#N,-0.107699623
OC(=O)C1=CCCNC1,0.633961359
Cc1cc(C)c(CNC(=O)c2cc(cc3n(ncc23)C2CCCC2)-c2ccc(CN3CCOCC3)cc2)c(=O)[nH]1,0.175673874
OC(=O)C1=CCNCC1,0.493885338
C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,-0.272111931
OC(=O)c1cc(O)c2ccc(Cl)cc2n1,0.63090858
Fc1c(Cl)cccc1C(=O)N1CCN(Cc2cccc(Nc3nccs3)n2)CC1,-0.990703008
NCC(O)(CS(O)(=O)=O)c1ccc(Cl)cc1,-0.198014384
O=C(Nc1cccc2cccnc12)c1ccc(cc1)N1C(=O)[C@H]2[C@@H]3C[C@@H](C=C3)[C@H]2C1=O,0.261500696
NCC(CS(O)(=O)=O)c1ccc(Cl)cc1,0.184151293
CCOc1ccccc1N\N=C1C(=O)N(N=C\1C)c1nc(cs1)-c1ccccc1,0.413894012
Cc1onc(O)c1C[C@H](N)C(O)=O,-0.409496476
Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,-1.391474988
N[C@@H]1CCN(O)C1=O,-0.440940419
CC(=O)c1cc(c(Sc2cccc(Cl)c2Cl)s1)[N+]([O-])=O,-0.128196839
N[C@H]1CCN(O)C1=O,-0.140359475
Cc1ccc(cc1)S(=O)(=O)c1ccc(o1)[N+]([O-])=O,-1.660283007
OC(=O)c1cc(O)c2c(Cl)cc(Cl)cc2n1,0.185240967
CN(C)CCCCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(cc2)C(C)(C)C)cc1,0.247602221
CCN(CC)C(=O)c1ccc(cc1)[C@@H](N1C[C@@H](C)N(CC=C)C[C@@H]1C)c1cccc(O)c1,0.048506581
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc12,-0.837207249
CN(CCOc1ccc(CC(Nc2ccccc2C(=O)c2ccccc2)C(O)=O)cc1)c1ccccn1,-0.510342209
Cc1cc(C(=O)NOCCO)c(Nc2ccc(I)cc2F)n(C)c1=O,0.655477163
COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCO,0.887410726
OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,-0.042647781
OC(=O)CCCc1c[nH]c2ccccc12,0.566516107
O=C1N(c2ccccc2C1(Cc1ccncc1)Cc1ccncc1)c1ccccc1,-0.330100897
C[C@H]1CN(C[C@@H](C)O1)c1ccc(NC(=O)c2cccc(-c3ccc(OC(F)(F)F)cc3)c2C)cn1,-0.237254918
CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1,-0.325775022
Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,-0.16524489
OC(=O)CC\C=C/C[C@@H]1CO[C@@H](O[C@@H]1c1ccccc1O)c1ccccc1Cl,-0.3279903
CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2c(CC\C2=N/O)c1)-c1ccncc1,0.130324894
Cn1nnc(n1)-c1ccc(cn1)-c1ccc(cc1F)N1C[C@H](CO)OC1=O,-0.434529634
CC(C)[C@H](C(=O)Nc1ccc(cc1)C(=O)NO)c1ccccc1,-1.223551872
NC(=O)C1CC2(NC(=O)NC2=O)c2cc(F)ccc2O1,0.32239145
N[C@@H](CSCCCO)C(O)=O,1.070074425
Nc1nc(N)c2nc(-c3cccc(O)c3)c(nc2n1)-c1cccc(O)c1,0.241358547
N[C@@H]1CN(CC11CC1)c1c(F)cc2c(c1Cl)n(cc(C(O)=O)c2=O)[C@@H]1C[C@@H]1F,-0.156648036
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CC[N@]3C[C@@H]4C=C)c2c1,-0.193397631
N[C@@H](C(O)=O)c1ccc(O)c(c1)C(O)=O,0.126733655
COC1CCN(CC1)C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,-1.060809351
N[C@H](C(O)=O)c1ccc(O)c(c1)C(O)=O,0.858021193
